T0_Pa,T0_over_mu,lambda_R,lambda_Z,eps_R=lambda_R-1,eps_Z=lambda_Z-1,J1,J1_minus_1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.03,0.03,1.002582894833777,0.9950536204217969,0.0025828948337769386,-0.004946379578203097,1.000200496479548,0.00020049647954789585
0.075,0.075,1.0065191393030222,0.9875847562594438,0.00651913930302217,-0.012415243740556248,1.0005031329982448,0.0005031329982447819
0.14250000000000002,0.14250000000000002,1.0125674012594612,0.9762689578477889,0.012567401259461208,-0.023731042152211113,1.0009614768123656,0.0009614768123655804
0.24250000000000002,0.24250000000000002,1.0218611961116917,0.9592514411895938,0.021861196111691683,-0.04074855881040618,1.0016506466165875,0.0016506466165875366
0.3425,0.3425,1.0315788599314129,0.9419236139209194,0.03157885993141285,-0.05807638607908061,1.0023526708667385,0.0023526708667385154
0.4425,0.4425,1.0417517308266877,0.9242769306102433,0.041751730826687705,-0.0757230693897567,1.0030684598829114,0.0030684598829113785
0.5425,0.5425,1.052414033884491,0.9063031792628977,0.05241403388449095,-0.09369682073710228,1.0037990145002946,0.0037990145002946285
0.6425,0.6425,1.0636031470580392,0.8879946671301551,0.06360314705803916,-0.11200533286984493,1.004545436317572,0.0045454363175720935
0.7424999999999999,0.7424999999999999,1.075359877577662,0.8693444522223608,0.07535987757766205,-0.1306555477776392,1.0053089389774745,0.005308938977474531
0.8424999999999999,0.8424999999999999,1.0877287424972173,0.8503466293285745,0.0877287424972173,-0.14965337067142548,1.0060908604796663,0.006090860479666338
0.9424999999999999,0.9424999999999999,1.1007582436987398,0.8309966802562182,0.10075824369873976,-0.1690033197437818,1.0068926764701107,0.006892676470110715
1.0425,1.0425,1.1145011233376778,0.8112918985714439,0.11450112333767781,-0.1887081014285561,1.0077160143683288,0.007716014368328805
1.1425,1.1425,1.129014580134048,0.7912318990342874,0.1290145801340481,-0.20876810096571263,1.0085626680763906,0.008562668076390612
1.2425000000000002,1.2425000000000002,1.144360419973608,0.7708192207330282,0.14436041997360793,-0.22918077926697178,1.0094346128522742,0.009434612852274205
1.3425000000000002,1.3425000000000002,1.1606051059894988,0.7500600300128658,0.16060510598949884,-0.2499399699871342,1.0103340197168516,0.01033401971685155
1.4425000000000003,1.4425000000000003,1.1778196639245868,0.7289649238737547,0.1778196639245868,-0.27103507612624533,1.0112632684928373,0.01126326849283732
1.5,1.5,1.1881863072844705,0.7166890718198466,0.1881863072844705,-0.28331092818015335,1.0118121002170755,0.01181210021707546
