T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s,f_31_Hz,omega_31_rad_per_s,f_12_Hz,omega_12_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,153846153.84615386,1.0,0.17,1200.0,806.1344624092658,5065.092209821013,1284.4466919886606,8070.416582958575,1721.5394730577132,10816.75152284591,1850.4149648841062,11626.500119545046,2138.728259520915,13438.025976271581,2351.732403390547,14776.37048340162
2307692.3076923075,0.014999999999999998,1.0020251598641339,0.9982623226748789,1.0023096984001827,0.0023096984001826915,154761230.8798488,1.0059480007190171,0.17,1200.0,808.5283521534153,5080.133462688462,1288.260973484168,8094.382420408595,1726.6517413961544,10848.872852156364,1855.909940739149,11661.026071100758,2145.079407976581,13477.93141893194,2358.7160870611783,14820.250262030922
5769230.769230768,0.03749999999999999,1.005085378144797,0.9956297984803869,1.005781854568173,0.005781854568172928,156126006.01184455,1.0148190390769896,0.17,1200.0,812.0855651338627,5102.484091021717,1293.9288250132781,8129.994581859575,1734.2483432603292,10896.60370937384,1864.0752288383921,11712.33008931481,2154.516930227745,13537.229120076632,2369.0935283218805,14885.453648486284
10961538.46153846,0.07124999999999998,1.0097273473307484,0.9916220489894182,1.0110075817257087,0.011007581725708704,158155396.41502944,1.0280100766976912,0.17,1200.0,817.3464366199601,5135.539121446124,1302.3111846473023,8182.662500751571,1745.483190979074,10967.194339488657,1876.1511240893064,11788.205176926394,2168.4743716245525,13624.926310786874,2384.441044798167,14981.884938511783
18653846.153846152,0.12124999999999998,1.0167218700984404,0.9855530924336082,1.0187892552889115,0.01878925528891151,161122253.9337838,1.0472946505695946,0.17,1200.0,824.9771701282942,5183.484434108692,1314.4695414342507,8259.055709474773,1761.7789946638839,11069.583893769737,1893.666841547488,11898.25967550435,2188.7192143352486,13752.12840905288,2406.702148981152,15121.755581235908
26346153.846153844,0.17124999999999999,1.0238624129107483,0.9793247650481294,1.0266205108489128,0.026620510848912815,164041076.1139965,1.0662669947409773,0.17,1200.0,832.4160988797655,5230.224601941092,1326.322287932906,8333.528712124848,1777.665189932906,11169.399802471044,1910.7422870547919,12005.547863829388,2208.4551862893377,13876.133178057724,2428.4037020186734,15258.110460424243
34038461.538461536,0.22124999999999997,1.031155685108599,0.9729344188969967,1.0345037004551847,0.034503700455184694,166911046.24534976,1.0849218005947734,0.17,1200.0,839.6662664176704,5275.778748089847,1337.8742735440826,8406.111978385743,1793.148276421334,11266.682904004925,1927.3844468130549,12110.113637502242,2227.6903622092905,13996.991352778985,2449.5545828257577,15391.005363945222
41730769.23076923,0.27125,1.0386087842301035,0.9663793272345806,1.0424413110537751,0.04244131105377513,169731306.48700607,1.1032534921655395,0.17,1200.0,846.7303818412569,5320.163894327546,1349.1298147853465,8476.832629737206,1808.2340395427793,11361.469549197182,1943.599539335469,12211.996068593631,2246.4319295153055,14114.748093109656,2470.1626946453275,15520.489949338657
49423076.92307693,0.32125000000000004,1.0462292234557515,0.9596566852393499,1.0504359736700046,0.05043597367000463,172500956.02130744,1.1212562141384983,0.17,1200.0,853.6108353936362,5363.395058994587,1360.0927201278655,8545.714595509322,1822.927583778018,11453.791810446428,1959.3930512273464,12311.229630461441,2264.6862296810814,14229.443243704103,2490.2350105227492,15646.60802954074
53846153.84615385,0.35,1.0506898235319524,0.9557141803609278,1.0550598143067433,0.05505981430674334,174070221.68944612,1.1314564409813996,0.17,1200.0,857.4847543747031,5387.7356098176315,1366.2651921561578,8584.497381066465,1831.2005267575341,11505.772244222457,1968.2853117491097,12367.101351119398,2274.9639939825115,14294.020341353504,2501.536376759663,15717.616607831573
