T0_Pa,T0_over_mu,lambda_R,lambda_Z,J1,J1_minus_1,Keff_Pa,Keff_over_mu,radius_A_m,rho0_kg_per_m3,f_01_Hz,omega_01_rad_per_s,f_11_Hz,omega_11_rad_per_s,f_21_Hz,omega_21_rad_per_s,f_02_Hz,omega_02_rad_per_s
0.0,0.0,1.0,1.0,1.0,0.0,1268115942.0289855,1.0,0.15,1400.0,2428.4430025392685,15258.35739287781,3869.3366017032863,24311.75888435428,5186.05850746977,32584.966616307756,5574.290000996617,35024.29703222003
19021739.13043478,0.015,1.0021256255310798,0.9983620339984235,1.002610832538982,0.0026108325389819775,1275404203.4810605,1.0057473147450648,0.15,1400.0,2435.411517460294,15302.141863442459,3880.4398187914558,24381.52245482509,5200.940111053971,32678.470489295276,5590.285650474679,35124.800661999376
47554347.82608695,0.0375,1.0053370496161431,0.9958767378370632,1.0065351916110605,0.006535191611060531,1286271884.1488469,1.0143172572145192,0.15,1400.0,2445.765541629335,15367.19811597156,3896.937304896874,24485.179217128054,5223.051634804891,32817.40129044641,5614.052456339677,35274.13190740892
90353260.86956522,0.07125000000000001,1.010207035532193,0.9920845574692281,1.0124404010425447,0.012440401042544735,1302426705.0497756,1.0270564874106802,0.15,1400.0,2461.0763088610734,15463.398503683666,3921.3325705003813,24638.459191532755,5255.748525188985,33022.84191169821,5649.197055821,35494.951938496684
153759057.9710145,0.12125000000000001,1.0175422530792928,0.9863232937733247,1.0212314813495666,0.02123148134956665,1326032457.7039742,1.0456713095037053,0.15,1400.0,2483.278970965569,15602.901943998904,3956.7089713656037,24860.735673670017,5303.163393306168,33320.75831439395,5700.161429798558,35815.17054426208
217164855.07246378,0.17125,1.0250273038306243,0.9803886609968683,1.0300757128409028,0.030075712840902824,1349241551.3547459,1.0639733376397424,0.15,1400.0,2504.9166944953963,15738.855770562332,3991.1852327165825,25077.35641243697,5349.371807535699,33611.09434374901,5749.829034016787,36127.24130532887
280570652.17391306,0.22125,1.0326693256985018,0.9742779267134014,1.0389757645934052,0.03897576459340524,1372047129.9495904,1.081957165331677,0.15,1400.0,2525.9976861301943,15871.31154746287,4024.7744305884016,25288.40356698513,5394.391293642323,33893.960117390925,5798.218706229835,36431.28258279713
343976449.2753624,0.27125000000000005,1.0404758745215055,0.9679882671132236,1.0479344621001017,0.04793446210010166,1394441982.8307352,1.0996171064608082,0.15,1400.0,2546.5291882502893,16000.314779918175,4057.4881045589914,25493.949642621003,5438.237318082555,34169.45281393203,5845.347070722563,36727.39883012924
407382246.3768116,0.32125000000000004,1.0484549543412442,0.9615167673374155,1.0569547979446097,0.05695479794460967,1416418528.5342813,1.1169471825013189,0.15,1400.0,2566.517519483636,16125.90516903858,4089.3363223542156,25694.05789673181,5480.923374594664,34437.65721703035,5891.228631382685,37015.68117793939
443840579.7101449,0.35,1.0531243263352845,0.9577121512195501,1.062170626466282,0.06217062646628202,1428862546.7908962,1.1267601797551068,0.15,1400.0,2577.767001508092,16196.587749208024,4107.260577731804,25806.67931476241,5504.947192282191,34588.60331534698,5917.050886671257,37177.92719296679
